,Geo Point,NOM_COM,Unnamed: 0,Nombre d’habitants de la commune,Policiers pour 100 habs,Libellé de la commune,president_gagnant,partie,Revenu fiscal de référence des foyers fiscaux 2021,Evolution,Age moyen,longitude,latitude
1655,"49.2986904394, 6.2041001196",guenange,732,7407.0,6.7503712704198735,guenange,LE PEN,Extrême droite,109145.37,-99.10259775563544,"24,10022365", 6.2041001196,49.2986904394
1656,"45.7729923571, 3.19282477044",lempdes,875,8900.0,4.49438202247191,lempdes,MACRON,Centre,131031.982,-88.34377014918388,"24,81012048", 3.19282477044,45.7729923571
1657,"48.6913867248, 6.4551067111",serres,57,1285.0,15.56420233463035,serres,LE PEN,Extrême droite,17161.846,-82.68826092484457,"29,421875", 6.4551067111,48.6913867248
1666,"50.4200829219, 1.90326722278",beaurainville,853,2123.0,4.710315591144607,beaurainville,LE PEN,Extrême droite,24377.578,-13.292460801479134,"24,42371134", 1.90326722278,50.4200829219
1667,"45.7167180504, 0.19621019901",champniers,188,5267.0,1.8986140117714063,champniers,MACRON,Centre,91358.665,-98.2761525685604,"25,14192324", 0.19621019901,45.7167180504
1671,"49.6382031411, 5.17085329666",carignan,97,2923.0,6.842285323297981,carignan,LE PEN,Extrême droite,33314.577,-96.03330097812736,"26,28462654", 5.17085329666,49.6382031411
1673,"49.8199062902, 4.75371237882",nouzonville,109,5760.0,8.680555555555555,nouzonville,LE PEN,Extrême droite,63283.893,-98.71150309921674,"24,55394883", 4.75371237882,49.8199062902
1675,"49.0944650907, 6.76920417164",macheren,733,2835.0,3.5273368606701947,macheren,LE PEN,Extrême droite,45926.38,-88.53164564679385,"24,53615863", 6.76920417164,49.0944650907
1677,"50.2695120908, 2.29324825874",frevent,837,3628.0,5.512679162072767,frevent,LE PEN,Extrême droite,30194.654,-93.19915373098829,"26,23170732", 2.29324825874,50.2695120908
1678,"50.2077917355, 3.87500040908",bachant,771,2400.0,4.166666666666667,bachant,LE PEN,Extrême droite,24931.417,-95.93169132745244,"23,17941454", 3.87500040908,50.2077917355
1679,"16.3205411813, -61.371438548",le moule,1349,22300.0,8.071748878923767,le moule,MÉLENCHON,Extrême gauche,246050.596,-97.77266664292088,"23,93948263", -61.371438548,16.3205411813
1680,"48.111571436, -1.68168588816",rennes,488,221898.0,3.605260074448621,rennes,MÉLENCHON,Extrême gauche,3297096.881,-98.15422129841868,"20,53139276", -1.68168588816,48.111571436
1683,"46.2053346667, 1.06768364004",le dorat,1266,1650.0,0.0,le dorat,MACRON,Centre,19871.206,-66.87346505290117,"33,6003861", 1.06768364004,46.2053346667
1684,"49.3806684962, 6.17447345041",manom,734,2915.0,0.0,manom,MACRON,Centre,64013.753,-79.94708887010577,"22,52700782", 6.17447345041,49.3806684962
